zone_name,avg_payed_in,avg_dist_in,rides_number_in,price_for_dist_in
Oakland Gardens,45.7694719195306,12.996404023470241,1193,3.521702760000027
Far Rockaway,46.50609181141445,13.208560794044663,806,3.5209053080470833
Soundview/Bruckner,38.26027314112297,10.868057663125947,1318,3.520433395466388
Van Cortlandt Village,45.49371782178204,12.926069306930694,2020,3.5195322523444337
Breezy Point/Fort Tilden/Riis Beach,71.61405555555555,20.348333333333333,180,3.519406448794605
Bedford Park,45.03519999999989,12.805149295774648,1775,3.5169601665527077
Saint Albans,45.48802619270352,12.942488306828812,1069,3.5146275673050282
Bronxdale,47.050509554140156,13.417898089171972,1099,3.506548435638303
Allerton/Pelham Gardens,51.45985260770981,14.686439909297048,882,3.5039024382712287
Van Cortlandt Park,45.890131578947376,13.107394736842103,380,3.5010871725683184
Bay Terrace/Fort Totten,44.65613050075871,12.756282245827014,1318,3.500716716688136
Rosedale,49.496012931034514,14.212262931034479,464,3.4826271629800063
West Farms/Bronx River,38.994371019108335,11.199665605095543,1256,3.481744222913848
Bellerose,45.38558192090402,13.049401129943497,885,3.4779819754916628
Marine Park/Floyd Bennett Field,58.28627450980391,16.78676470588235,102,3.4721565191998827
Starrett City,42.94780442804431,12.376881918819189,542,3.4700019528134693
Pelham Bay Park,48.556176470588234,14.001764705882353,102,3.467861193967147
Glen Oaks,49.48348651348657,14.32944055944056,1001,3.4532741392256048
Gravesend,55.70382978723408,16.223717805151175,893,3.433481182072066
Co-Op City,52.858433436532415,15.475139318885443,1615,3.415700004201281
Woodlawn/Wakefield,52.434067796610094,15.352210169491524,1475,3.4154084146665085
Brighton Beach,56.56961010830316,16.64525631768953,1385,3.3985424452842183
Williamsbridge/Olinville,50.21806474313857,14.779317382125267,1421,3.3978609055296713
Sheepshead Bay,56.27001639344248,16.566196721311478,1830,3.3966768196742634
Laurelton,52.14713450292402,15.354892787524362,513,3.3961249501717683
Queens Village,42.23700598802391,12.46972721224218,1503,3.3871635897983112
Eastchester,52.99008760951195,15.68435544430538,799,3.3785314160775033
Coney Island,57.03860978520273,16.89056085918855,1676,3.3769517934138604
Cambria Heights,44.257035398230144,13.113569321533927,678,3.3749038353391105
Manhattan Beach,57.42718327183277,17.03464944649447,813,3.371198418388974
