zone_name,avg_payed_out,avg_dist_out,rides_number_out,price_for_dist_out
East Concourse/Concourse Village,37.81225563909773,9.798458646616542,266,3.8590003798357095
Kew Gardens Hills,46.734170212765946,12.119021276595745,235,3.8562660421282517
Inwood Hill Park,36.823617021276604,9.549787234042553,47,3.8559620354692106
Sunset Park East,42.48093959731543,11.019798657718122,149,3.8549651329212207
Flatbush/Ditmas Park,40.735699088145935,10.599103343465044,658,3.843315586998388
Saint George/New Brighton,83.78066666666668,21.87133333333333,15,3.830615417441401
Claremont/Bathgate,39.818478260869554,10.426847826086956,92,3.818841410656019
West Farms/Bronx River,41.54115942028986,10.885217391304346,69,3.816291207328115
Midwood,42.394334975369446,11.129408866995075,203,3.809217136508694
Erasmus,41.07037037037036,10.783395061728395,162,3.8086678764217954
Pelham Parkway,38.567216494845354,10.133608247422679,97,3.8058720599007083
Eltingville/Annadale/Prince's Bay,84.08,22.1,1,3.804524886877828
Bronxdale,47.622907801418435,12.517872340425532,141,3.804393151352392
Flatlands,45.1413056379822,11.911839762611276,337,3.7896165947153797
Soundview/Castle Hill,38.955634328358194,10.305074626865672,268,3.7802379641967425
Woodlawn/Wakefield,49.51747663551401,13.129532710280374,107,3.7714576541434726
Bellerose,48.19190909090908,12.781000000000002,110,3.77058986706119
Morrisania/Melrose,39.41688741721853,10.512781456953645,151,3.7494251715036233
Bay Terrace/Fort Totten,49.3945,13.208999999999998,60,3.7394579453402987
New Dorp/Midland Beach,70.68428571428572,18.917142857142856,7,3.7365201631173544
Bedford Park,39.55360824742268,10.593195876288659,97,3.7338692411001033
East Flatbush/Farragut,42.495051903114174,11.39955017301038,289,3.7277832246157945
Port Richmond,64.166,17.222,5,3.725815816978283
Mount Hope,44.36208333333332,11.921750000000001,120,3.7211049831889875
Canarsie,47.33443627450981,12.741813725490196,408,3.7148899908822663
North Corona,36.271391304347816,9.775217391304347,115,3.710545745674509
Spuyten Duyvil/Kingsbridge,40.0158762886598,10.786030927835053,194,3.7099723296168676
Douglaston,56.564354838709676,15.295322580645163,62,3.698147230336071
Bayside,46.63663793103448,12.612844827586208,116,3.697551073413118
East New York/Pennsylvania Avenue,45.64627737226276,12.353868613138687,137,3.6948974286254477
Murray Hill-Queens,47.91887640449438,12.969213483146067,89,3.694817458804775
Williamsbridge/Olinville,51.207929515418485,13.87907488986784,227,3.689578010188696
Westerleigh,50.685,13.754999999999999,4,3.684841875681571
Homecrest,45.18006535947712,12.290392156862746,153,3.676047499773987
Hollis,47.91280701754386,13.065087719298246,57,3.6672395966215037
Whitestone,43.695161290322574,11.917311827956988,93,3.666528317889399
Norwood,44.64444444444444,12.20251851851852,135,3.6586254203746638
Fresh Meadows,42.228289473684214,11.555394736842105,76,3.6544220630600885
Van Cortlandt Village,42.04452830188679,11.533490566037736,106,3.6454296347797635
Parkchester,41.16396739130434,11.29342391304348,184,3.644950168191376
Kingsbridge Heights,44.13717948717948,12.122905982905982,117,3.64080852803903
College Point,41.29358974358974,11.371666666666666,78,3.631269800110486
Auburndale,40.131400000000006,11.0722,50,3.6245190657683213
City Island,60.39625,16.665416666666665,24,3.6240468035102635
Coney Island,51.151117647058804,14.184764705882353,170,3.606060354730219
Oakland Gardens,43.79076086956521,12.192717391304347,92,3.5915505513804566
Hillcrest/Pomonok,38.60812030075187,10.757969924812029,133,3.5887923623681686
Allerton/Pelham Gardens,46.683749999999996,13.0175,96,3.586230074899174
Rockaway Park,69.085,19.279374999999998,16,3.5833630498913993
Marine Park/Mill Basin,53.10824120603014,14.821909547738695,199,3.5830903592400207
Crotona Park,59.955,16.82875,8,3.562653197652826
Co-Op City,49.67886363636363,13.951287878787877,264,3.56088011859446
Jamaica Bay,59.93333333333334,16.846666666666668,6,3.557578155916106
Madison,43.30495327102803,12.18448598130841,107,3.55410588000675
Brighton Beach,46.78041666666667,13.227291666666666,96,3.536658739033879
JFK Airport,56.01882599592007,15.872363761038544,215834,3.529331033442413
Bloomfield/Emerson Hill,81.15555555555555,23.10055555555555,18,3.513143022053342
Manhattan Beach,44.98287878787879,12.805757575757577,66,3.5127073522799876
Saint Albans,49.08397260273971,13.98513698630137,292,3.5097241200295803
Pelham Bay,41.88708333333334,11.94020833333333,48,3.5080697224015505
Starrett City,48.62795811518323,13.872722513089004,191,3.5052930720197453
Eastchester,45.16992592592592,12.911407407407408,135,3.4984509821920313
Marble Hill,40.07951219512196,11.498658536585367,82,3.485581563066742
Breezy Point/Fort Tilden/Riis Beach,85.41799999999999,24.58,5,3.4751017087062652
Jamaica Estates,46.15455999999999,13.28472,125,3.474259148856731
Arden Heights,79.69200000000001,22.993999999999996,15,3.465773680090459
Sheepshead Bay,50.34571428571427,14.588351648351647,182,3.451089985989122
Springfield Gardens North,45.1741447368421,13.245065789473681,304,3.4106395132248855
Queens Village,49.36316017316015,14.526796536796537,231,3.3980761035733322
Rosedale,53.41537313432835,15.758731343283582,134,3.3895731814156562
Far Rockaway,62.87354430379747,18.6826582278481,79,3.365342529794774
Laurelton,53.32312499999998,15.951093750000002,128,3.342913397396337
Cambria Heights,56.857142857142854,17.075000000000003,98,3.3298473122777654
Glen Oaks,47.96893805309735,14.485398230088494,113,3.3115374041604304
Freshkills Park,29.8,10.4,1,2.8653846153846154
